pair,V1,V2,genetic,range_01,niche_relrank,niche_i,niche_d,depth,range_depth_combined,photo_av_total,highest_photo_av,lowest_photo_av,,,,,,,,,,,,,,,,,,,,,,,
1,Benthosema_fibulatum,Benthosema_panamense,0.25049238,0.598453608,0.673547584,0.136845143,0.029126806,NA,NA,74.75,108,41.5,,,,,,,,,,,,,,,,,,,,,,,
2,Benthosema_glaciale,Benthosema_suborbitale,0.22241516,0.579845388,0.234927109,0.258752276,0.138662965,0.794164118,0.460492401,151,205.5,96.5,,,,,,,,,,,,,,,,,,,,,,,
3,Bolinichthys_photothorax,Bolinichthys_longipes,0.094910707,0.744525897,0.646634578,0.665362448,0.546553281,0.941466991,0.700946556,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
4,Bolinichthys_supralateralis,Bolinichthys_pyrsobolus,0.040026821,0.598463941,0.349457748,0.372713907,0.236346103,0.903968337,0.540992453,17,17,17,,,,,,,,,,,,,,,,,,,,,,,
5,Centrobranchus_choerocephalus,Centrobranchus_nigroocellatus,0.053898086,0.994955719,0.395807157,0.421016701,0.191814338,0.983666667,0.978704776,4.75,5.5,4,,,,,,,,,,,,,,,,,,,,,,,
6,Ceratoscopelus_warmingii,Ceratoscopelus_townsendi,0.089887981,0.975278618,0.737297465,0.899433069,0.731149414,0.729116945,0.711092167,70,99.5,40.5,,,,,,,,,,,,,,,,,,,,,,,
7,Diaphus_danae,Diaphus_splendidus,0.085046477,0.393312679,0.334998833,0.226040757,0.148179725,0.3773355,0.148410836,99,99,99,,,,,,,,,,,,,,,,,,,,,,,
8,Diaphus_effulgens,Diaphus_phillipsi,0.02811697,0.780848835,0.425879486,0.503233675,0.311134962,0.929882353,0.726097552,36,36,36,,,,,,,,,,,,,,,,,,,,,,,
9,Diaphus_fragilis,Diaphus_bertelseni,0.0961829,0.790704434,0.696392185,0.780239244,0.576169059,0.551902887,0.43639206,117,117,117,,,,,,,,,,,,,,,,,,,,,,,
10,Diaphus_fulgens,Diaphus_aliciae,0.052785538,0.807996783,0.843635987,0.838550849,0.66386464,0.719931857,0.581702624,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,
11,Diaphus_garmani,Diaphus_malayanus,0.012105255,0.981417466,0.702016056,0.735662652,0.526851769,0.527456647,0.517655166,60.5,60.5,60.5,,,,,,,,,,,,,,,,,,,,,,,
12,Diaphus_parri,Diaphus_meadi,0.022754909,0.626936041,0.431116219,0.36776384,0.223875102,0.859103949,0.538603228,7,7,7,,,,,,,,,,,,,,,,,,,,,,,
13,Diaphus_richardsoni,Diaphus_brachycephalus,0.036165986,0.930983789,0.53104968,0.599053874,0.398698449,0.442667323,0.412116101,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,
14,Diaphus_signatus,Diaphus_schmidti,0.128806797,0.727338552,0.767646322,0.680295609,0.48395104,0.89561759,0.651417201,9.25,15,3.5,,,,,,,,,,,,,,,,,,,,,,,
15,Diaphus_subtilis,Diaphus_hudsoni,0.037425126,0.039401989,0.474209521,0.008903884,0.005311595,0.534392641,0.021056133,22.5,22.5,22.5,,,,,,,,,,,,,,,,,,,,,,,
16,Diaphus_thiollierei,Diaphus_perspicillatus,0.014629892,0.867817814,0.367003396,0.433645301,0.252223236,0.863012545,0.748937661,46,46,46,,,,,,,,,,,,,,,,,,,,,,,
17,Diogenichthys_atlanticus,Diogenichthys_laternatus,0.128618901,1,0.242998246,0.360783228,0.145568038,0.551201581,0.551201581,58.25,115,1.5,,,,,,,,,,,,,,,,,,,,,,,
18,Electrona_antarctica,Electrona_subaspera,0.011307555,0.603464207,0.65132517,0.464941755,0.300882757,0.768866328,0.463983309,82,82,82,,,,,,,,,,,,,,,,,,,,,,,
19,Electrona_carlsbergi,Electrona_risso,0.081555792,0.3555955,0.155619118,0.211235339,0.149436263,0.718492638,0.255492749,102,152.5,51.5,,,,,,,,,,,,,,,,,,,,,,,
20,Gonichthys_cocco,Gonichthys_tenuiculus,0.05986162,0.002688283,0.557108908,0.000827402,0.000667755,0.15690568,0.000421807,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
21,Gymnoscopelus_fraseri,Gymnoscopelus_bolini,0.035383564,0.964837899,0.908803069,0.938184167,0.819580969,0.730812876,0.70511596,20.25,28,12.5,,,,,,,,,,,,,,,,,,,,,,,
22,Gymnoscopelus_opisthopterus,Gymnoscopelus_braueri,0.079381713,1,0.936359001,0.961760317,0.847722855,0.436856801,0.436856801,19.25,36,2.5,,,,,,,,,,,,,,,,,,,,,,,
23,Hygophum_atratum,Myctophum_aurolaternatum,0.078866215,0.818291727,0.745997701,0.524797241,0.353964898,0.791500934,0.647678666,39.5,39.5,39.5,,,,,,,,,,,,,,,,,,,,,,,
24,Hygophum_hanseni,Hygophum_reinhardtii,0.073369591,0.508020295,0.297736798,0.264380656,0.158296578,0.559607956,0.284292199,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,
25,Krefftichthys_anderssoni,Protomyctophum_tenisoni,0.052222796,0.985074185,0.925913188,0.935819665,0.778306219,0.38057059,0.374890264,98.5,108.5,88.5,,,,,,,,,,,,,,,,,,,,,,,
26,Lampadena_anomala,Lampadena_chavesi,0.152708998,0.948117638,0.523974041,0.668419289,0.45782053,0.369949109,0.350755276,35,35,35,,,,,,,,,,,,,,,,,,,,,,,
27,Lampadena_speculigera,Lampadena_notialis,0.113601147,0.847381232,0.766647367,0.726021078,0.566340935,0.989166667,0.838201269,11,11,11,,,,,,,,,,,,,,,,,,,,,,,
28,Lampanyctus_australis,Lampanyctus_pusillus,0.119401979,0.770707606,0.666817604,0.726274401,0.571266691,0.449759189,0.346632828,33.5,33.5,33.5,,,,,,,,,,,,,,,,,,,,,,,
29,Lampanyctus_festivus,Lampanyctus_tenuiformis,0.024037829,0.877706903,0.610907268,0.729435606,0.505256167,0.937145289,0.82253889,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
30,Lampanyctus_jordani,Nannobrachium_ritteri,0.031682484,0.922368345,0.930693651,0.783978788,0.589944411,0.761893818,0.70274674,77.5,101,54,,,,,,,,,,,,,,,,,,,,,,,
31,Lampanyctus_macdonaldi,Lampanyctus_crocodilus,0.042284209,0.57430543,0.538865029,0.417646273,0.247690709,0.46969697,0.26974952,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
32,Lampanyctus_nobilis,Lampanyctus_vadulus,0.078259375,1,0.686883107,0.794420431,0.610929953,NA,NA,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
33,Lampanyctus_parvicauda,Lampanyctus_hubbsi,0.076721106,0.496708329,0.861140156,0.283951384,0.181195743,0.568883878,0.282569361,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
34,Lepidophanes_gaussi,Lepidophanes_guentheri,0.268388123,0.975720753,0.883722056,0.878145848,0.702905972,0.98017149,0.956373664,22,22,22,,,,,,,,,,,,,,,,,,,,,,,
35,Lobianchia_gemellarii,Lobianchia_dofleini,0.204429841,0.976558949,0.682337692,0.835148237,0.651280014,0.760019432,0.742203777,3.25,5.5,1,,,,,,,,,,,,,,,,,,,,,,,
36,Loweina_rara,Tarletonbeania_crenularis,0.139982378,0.445480482,0.287004087,0.133844872,0.05219529,0.745693921,0.332192087,20.5,23,18,,,,,,,,,,,,,,,,,,,,,,,
37,Metelectrona_ventralis,Electrona_paucirastra,0.079738958,0.998667416,0.683623543,0.782969731,0.583073099,0.715442147,0.71448876,63,63,63,,,,,,,,,,,,,,,,,,,,,,,
38,Myctophum_affine,Myctophum_nitidulum,0.018910575,0.851526439,0.381133934,0.517443909,0.290582181,0.625476557,0.532609826,122.5,184,61,,,,,,,,,,,,,,,,,,,,,,,
39,Myctophum_brachygnathum,Myctophum_obtusirostre,0.021238896,0.968798286,0.655383206,0.680614371,0.489253441,0.96758219,0.937391967,2.75,4,1.5,,,,,,,,,,,,,,,,,,,,,,,
40,Myctophum_lychnobium,Myctophum_spinosum,0.056273972,0.864841814,0.772945274,0.784215588,0.605051197,NA,NA,9.75,11,8.5,,,,,,,,,,,,,,,,,,,,,,,
41,Nannobrachium_lineatum,Nannobrachium_cuprarium,0.06920079,0.994564755,0.637616336,0.743299843,0.543975656,0.66333142,0.659726051,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
42,Protomyctophum_thompsoni,Protomyctophum_crockeri,0.016541198,0.898174575,0.954319441,0.820234593,0.626176417,0.776875,0.697769373,127.5,155.5,99.5,,,,,,,,,,,,,,,,,,,,,,,
43,Stenobrachius_nannochir,Stenobrachius_leucopsarus,0.012991505,0.97257785,0.980910984,0.968461091,0.873026277,0.304601682,0.296248849,169,211.5,126.5,,,,,,,,,,,,,,,,,,,,,,,
44,Symbolophorus_rufinus,Symbolophorus_evermanni,0.022839107,0.686776328,0.647502182,0.643211331,0.524705643,0.918350478,0.630701369,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
45,Symbolophorus_veranyi,Symbolophorus_barnardi,0.086139278,0.328450698,0.484053888,0.23743009,0.205530379,0.889872578,0.292279269,22,22,22,,,,,,,,,,,,,,,,,,,,,,,
46,Triphoturus_mexicanus,Triphoturus_nigrescens,0.195824087,0.941751486,0.5138739,0.457553444,0.257501882,0.613495533,0.57776033,88,88,88,,,,,,,,,,,,,,,,,,,,,,,
1,sister_sp,Benthosema_suborbitale,0.307998491,0.618214985,0.285303445,0.269166096,0.156769927,0.776386233,0.479973603,75.125,130.75,19.5,,,,,,,,,,,,,,,,,,,,,,,
2,sister_sp,Benthosema_fibulatum,0.297360304,0.477592095,0.461043372,0.262901777,0.15852167,0.698502919,0.333599472,108.25,135,81.5,,,,,,,,,,,,,,,,,,,,,,,
3,sister_sp,Bolinichthys_indicus,0.103542616,0.436834485,0.388757443,0.342511691,0.257569103,0.632394644,0.276251789,1.25,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,
4,sister_sp,Bolinichthys_nikolayi,0.051904902,0.725241208,0.452258449,0.333924735,0.16094281,0.864075164,0.626662916,41.75,41.75,41.75,,,,,,,,,,,,,,,,,,,,,,,
5,sister_sp,Gonichthys_cocco,0.168332148,0.468997121,0.495719878,0.331411242,0.233748549,0.864619197,0.405503914,6,6.5,5.5,,,,,,,,,,,,,,,,,,,,,,,
6,sister_sp,Ceratoscopelus_maderensis,0.157768291,0.893713602,0.275507471,0.330554089,0.157574472,0.599103219,0.535426696,56.375,71.75,41,,,,,,,,,,,,,,,,,,,,,,,
7,sister_sp,Diaphus_phillipsi,0.08786835,0.602402461,0.559224341,0.480347484,0.372512821,0.593985278,0.357818193,31.75,31.75,31.75,,,,,,,,,,,,,,,,,,,,,,,
8,sister_sp,Diaphus_danae,0.062819574,0.64494729,0.411989181,0.350819695,0.213766426,0.561243877,0.361972718,20.5,20.5,20.5,,,,,,,,,,,,,,,,,,,,,,,
9,sister_sp,Diaphus_thiollierei,0.104647571,0.808837117,0.465388305,0.412585749,0.243463031,0.732249653,0.592270697,26.75,26.75,26.75,,,,,,,,,,,,,,,,,,,,,,,
10,sister_sp,Diaphus_brachycephalus,0.091504696,0.870132365,0.546386568,0.611236881,0.420549002,0.698244617,0.60756524,18.25,18.25,18.25,,,,,,,,,,,,,,,,,,,,,,,
11,sister_sp,Diaphus_regani,0.051093387,0.966887046,0.83293957,0.867918304,0.730440362,0.714088212,0.690442642,96.5,96.5,96.5,,,,,,,,,,,,,,,,,,,,,,,
12,sister_sp,Diaphus_anderseni,0.101538035,0.734976147,0.606745535,0.591960466,0.413690038,0.757164671,0.556497972,10.25,10.25,10.25,,,,,,,,,,,,,,,,,,,,,,,
13,sister_sp,Diaphus_fulgens,0.087890026,0.822206265,0.660023678,0.666835752,0.459598455,0.646039677,0.531177869,13,13,13,,,,,,,,,,,,,,,,,,,,,,,
14,sister_sp,Diaphus_metopoclampus,0.136484697,0.491658239,0.338756147,0.243154637,0.122962383,0.723860676,0.355892065,15.5,21,10,,,,,,,,,,,,,,,,,,,,,,,
15,sister_sp,Diaphus_holti,0.083891385,0.651117303,0.665054744,0.434732825,0.29707631,0.590096901,0.384222302,68.25,68.25,68.25,,,,,,,,,,,,,,,,,,,,,,,
16,sister_sp,Diaphus_bertelseni,0.130926675,0.812275013,0.598328739,0.591129805,0.436281001,0.576193855,0.468027871,70,70,70,,,,,,,,,,,,,,,,,,,,,,,
