Species,Min Depth (m),Max Depth (m),n
Myctophum obtusirostre,0.125,1152.53775,760
Myctophum orientale,362.6,743.25,7
Myctophum phengodes,0.125,1450,368
Myctophum punctatum,0,850,1181
Myctophum selenops,37.5,972,461
Myctophum spinosum,0,1245,231
Nannobrachium achirus,0,1551,619
Nannobrachium atrum,47.5,1457.85,682
Nannobrachium bristori,140,1200,21
Nannobrachium crypticum,0,590,57
Nannobrachium cuprarium,64,1075,1468
Nannobrachium fernae,81.25,2250,26
Nannobrachium gibbsi,152.5,299.125,6
Nannobrachium hawaiiensis,159.425,2563.7,10
Nannobrachium idostigma,0,2716.4,49
Nannobrachium indicum,75,775.5,87
Nannobrachium isaacsi,35,2191.577,162
Nannobrachium lineatum,30,1554.125,638
Nannobrachium nigrum,100,3000,165
Nannobrachium phyllisae,100,3500,18
Nannobrachium regale,0,1358.08,289
Nannobrachium ritteri,0,870.2,697
Nannobrachium wisneri,47,1628,73
Notolychnus valdiviae,27.5,1110,3910
Parvilux ingens ,0,1260,156
Protomyctophum andriashevi,168.75,1450,66
Protomyctophum arcticum,0.125,1227.5,314
Protomyctophum beckeri,152.475,825,10
Protomyctophum bolini,25,1450,333
Protomyctophum chilense,150,504,8
Protomyctophum choriodon,21.5,1212,73
Protomyctophum crockeri,0,659,505
Protomyctophum gemmatum,0,2035,37
Protomyctophum luciferum,100,2000,89
Protomyctophum normani,40,1235,108
Protomyctophum parallelum,53,845,85
Protomyctophum subparallelum,101.25,1591,142
Protomyctophum tenisoni,20.5,1071.25,111
Protomyctophum thompsoni,37.5,800,1201
Scopelopsis multipunctatus,37.15,1810,299
Stenobrachius leucopsarus ,0,700.95,7622
Stenobrachius nannochir ,199.6,1645.92,177
Symbolophorus barnardi,0.125,972.6,380
Symbolophorus boops,0.125,884,389
Symbolophorus californiensis,0,945,372
Symbolophorus evermanni,0.125,1361,1199
Symbolophorus rufinus,0,1250,384
Symbolophorus veranyi,0.125,1092.95,703
Taaningichthys bathyphilus ,379.125,1972.5,492
Taaningichthys minimus ,98.275,1662.5,292
Tarletonbeania crenularis,0,800,1361
Tarletonbeania taylori,57.3,374.3,49
Triphoturus mexicanus ,0,839.4,2349
Triphoturus nigrescens ,32.5,1315.25,1354
